Head	01	02	03	04	05	06	07	08	09	10	11	12
o__Pedosphaerales;f__UBA11320	0	0	0	0	0	0	0	0	58.8568331331652	65.6293523617772	0	0
o__Pedosphaerales;f__UBA9464	0	0	0	0	325.900536142204	1034.64983627868	1120.7293367834	1484.16576328134	1251.29831188702	629.185768789828	107.947248973841	0
o__Pelagibacterales;f__Pelagibacteraceae	0	0	0	0	75.53986322481	0	130.913560730555	0	0	0	97.1231579464848	0
o__Phormidesmiales;f__Phormidesmiaceae	0	0	0	0	0	0	732.029346699069	4723.4352944375	2903.81821069881	450.834797846691	0	0
o__Phycisphaerales;f__SM1A02	949.356971977767	1410.08236746708	6402.534258856	4126.66265013521	2032.00021220564	49.0402094658406	3027.71335879732	4503.12052999811	2879.75909131366	4866.3745259304	1358.00275099162	0
o__Pirellulales;f__Pirellulaceae	0	0	0	250.726114521718	277.49995200281	906.093798638309	11293.3979057707	18582.1641378212	18068.6833507161	6388.7461336301	523.374417447888	0
o__Pirellulales;f__UBA1268	1887.18451492136	1019.16263346562	2311.82474708022	630.949253371909	1284.79637451618	873.317346495137	5447.75406057398	5226.95547141936	5245.26579181671	9022.14151714036	3342.05203222953	1209.57718708249
o__Planctomycetales;f__	0	0	0	0	0	0	0	59.3868199399605	504.275528589449	0	0	0
o__Planctomycetales;f__Planctomycetaceae	0	0	1432.84178493882	2522.66768377471	1356.11007857304	398.693676646736	1604.42286386431	694.51240403735	1557.93833492012	1517.29793835192	2336.62883234665	0
o__Planctomycetales;f__UBA10511	0	0	0	0	0	0	701.499800166411	1129.94083556023	383.513181552484	283.165784345565	0	0
o__Polyangiales;f__	0	0	0	0	0	0	167.403803303684	90.8802974560296	220.16597579682	241.462992554035	0	0
o__Polyangiales;f__Ga0077539	0	0	0	0	0	0	129.163643501284	131.010768438862	222.945883273261	122.634823190144	256.029469944045	0
o__Polyangiales;f__Polyangiaceae	0	0	0	0	0	0	1837.5850770256	1362.27068652584	1376.32575606094	100.746462250622	0	0
o__Polyangiales;f__SG8-38	0	0	0	0	0	0	147.554246478264	0	0	0	0	0
o__Polyangiales;f__Sandaracinaceae	0	0	0	0	0	252.638082678388	508.070988662028	349.720755397574	566.377495234722	0	0	0
o__Pseudanabaenales;f__Pseudanabaenaceae	0	0	0	0	140.928812104775	3063.20743433623	2612.6990214989	841.040248032977	2404.4803251834	2487.50040541818	651.578409485058	0
o__Pseudomonadales;f__HTCC2089	0	0	0	0	0	0	122.086806112932	0	204.234574951392	78.8311135317548	0	0
o__Pseudomonadales;f__Pseudohongiellaceae	0	295.090390607332	0	1239.84840137704	266.707973359219	209.026204856502	0	0	0	0	239.722173686294	0
