Head	Spring	Clearwater	Early Summer	Late Summer	Fall	Ice-on
o__Christensenellales;f__UBA6094	0	0	177.1775175	0	0	0
o__Chromatiales;f__Chromatiaceae	0	0	95.27917135	0	11.08089237	0
o__Chthoniobacterales;f__Chthoniobacteraceae	1039.647384	2964.126985	2374.5318	57.98414648	10665.0739	71.73601968
o__Chthoniobacterales;f__JACTMZ01	71.82017268	113.3206946	67.16549029	0	1780.093584	12.81149231
o__Chthoniobacterales;f__Terrimicrobiaceae	678.7222166	3428.749711	6426.82217	1084.345719	11273.92463	1330.369939
o__Chthoniobacterales;f__UBA10450	34.25227939	87.1393931	10.06031584	0	88.05461797	0
o__Chthoniobacterales;f__UBA6821	150.269655	5037.975226	175.8009107	28.24816469	2549.60726	0
o__Clostridiales;f__Clostridiaceae	35.64605837	54.69256314	57.15898321	33.87503024	143.9743913	10.13437567
o__Competibacterales;f__Competibacteraceae	24.21565237	12.24039509	0	0	5.17007232	0
o__Coriobacteriales;f__Atopobiaceae	13.11002995	44.51445473	93.27102466	0	287.8725254	0
o__Coriobacteriales;f__Coriobacteriaceae	42.15087118	77.46208874	56.73481926	6.270558119	2488.784444	26.0894328
o__Coxiellales;f__Coxiellaceae	10.06565081	79.24655	25.72551145	5.597893561	165.8661899	29.67913009
o__CR-4;f__AMARA-1	27.14620003	161.6291883	0	0	14.22787388	0
o__CR-4;f__SOKP01	0	0	5.355395167	4.899614333	40.17816076	0
o__CSP1-4;f__UBA10416	1119.907686	1170.685497	547.6669166	189.9594778	3187.960704	116.5783624
o__CSSed11-243R1;f__CSSed11-243R1	0	0	3.92760603	0	0	0
o__Curtissbacterales;f__GWA2-41-24	10.56415901	0	0	0	33.05582189	0
o__Cyanobacteriales;f__CAISPN01	14.05979328	89.76446474	0	0	122.9717308	0
o__Cyanobacteriales;f__Chamaesiphonaceae	0	0	0	0	12.5481179	0
o__Cyanobacteriales;f__Coleofasciculaceae	0	18.18601949	0	0	128.7525476	0
o__Cyanobacteriales;f__Cyanobacteriaceae	12.58734801	8.441846222	33.25522768	12.61821606	239.425154	0
o__Cyanobacteriales;f__Geitlerinemaceae	0	3.795668042	454.670468	0	1230.08688	0
o__Cyanobacteriales;f__Microcoleaceae	21.8320277	68.35576422	14648.839	0	13413.75193	6.164224213
o__Cyanobacteriales;f__Microcystaceae	609.8738709	14333.1071	8659.232548	24.14323003	31491.60349	48.81677736
o__Cyanobacteriales;f__Microcystaceae_A	138.0500635	4531.488197	1768.780618	48.78124615	3704.604454	8.651557936
o__Cyanobacteriales;f__Nostocaceae	17252.84851	61014.89192	11208.47954	1433.015061	32846.08412	1680.85636
o__Cyanobacteriales;f__Oscillatoriaceae	0	45.37092836	0	0	32.60101035	53.76166827
o__Cyanobacteriales;f__Oscillatoriaceae_A	0	0	0	0	19.70094716	0
o__Cyanobacteriales;f__Xenococcaceae	0	0	0	0	68.84984261	0
o__Cytophagales;f__Amoebophilaceae	0	0	2.421300561	0	0	0
o__Cytophagales;f__Bernardetiaceae	0	30.81463575	27.37912187	4.860299985	0	0
o__Cytophagales;f__Catalimonadaceae	2.966914054	0	0	18.1015766	44.08289425	0
o__Cytophagales;f__Cyclobacteriaceae	628.8129653	1399.185044	1004.442103	140.0410077	2151.29137	507.7678824
o__Cytophagales;f__Cytophagaceae	0	0	0	0	0	5.909324539
o__Cytophagales;f__Flammeovirgaceae	18.01492988	11.70519673	0	0	12.3505536	6.218179187
o__Cytophagales;f__Hymenobacteraceae	31.92842881	21.72264357	26.37145313	4.233119806	139.256345	0
o__Cytophagales;f__Marinoscillaceae	0	0	0	5.843727264	0	0
o__Cytophagales;f__Microscillaceae	6.628402515	0	6.820167032	0	9.116881884	0
o__Cytophagales;f__Spirosomaceae	1451.44988	998.6331777	142.1751922	76.17125294	1593.381409	189.2812548
o__Cytophagales;f__UBA9547	28.81286011	9.581993384	26.62883941	0	0	0
o__Dehalococcoidales;f__Dehalococcoidaceae	0	0	0	0	5.749300962	0
o__Dehalococcoidales;f__UBA1222	21.98936709	62.9169758	0	0	42.98221221	0
o__Dehalococcoidales;f__UBA3254	4.178652909	94.26951716	6.240572122	0	28.19222059	0
o__Desulfobacterales;f__Desulfatirhabdiaceae	0	0	0	0	31.43572056	0
o__Desulfobacterales;f__Desulfolunaceae	8.412146474	0	212.6940692	0	0	0
o__Desulfobacterales;f__UBA2245	0	0	9.828005204	0	4.03405942	0
o__Desulfobulbales;f__Desulfocapsaceae	0	6.275077299	0	0	0	0
o__DHVEG-1;f__DHVEG-1	212.4038039	312.8772501	57.43697736	48.47436418	868.2985583	62.84355484
o__Diplorickettsiales;f__Diplorickettsiaceae	30.4837867	31.33469058	0	0	25.14084416	0
o__DSM-16000;f__Inquilinaceae	0	0	0	0	50.44521847	0
o__DSM-16500;f__DSM-16500	641.6591245	419.9825519	293.3334698	105.5647498	996.0986052	60.6615028
o__DTBI01;f__DTBI01	23.29220595	45.70561482	0	0	149.5365472	0
o__DTU022;f__DTU022	15.56089769	6.938783807	15.55669636	3.622160485	12.8683963	0
o__Ectothiorhodospirales;f__Ectothiorhodospiraceae	0	0	0	0	152.9708214	0
o__Ectothiorhodospirales;f__Thioalkalivibrionaceae	0	21.37870578	0	0	15.28536272	0
o__Elainellales;f__Elainellaceae	0	0	6.33685621	0	108.5169877	0
o__Elsterales;f__Elsteraceae	40.08260566	95.39655072	79.21650092	0	8.83592496	0
o__Elusimicrobiales;f__Elusimicrobiaceae	138.7558223	102.4669504	5.31025281	96.02240369	145.6050663	78.01434429
o__Enterobacterales;f__Aeromonadaceae	118.5723836	38.27923169	5.4863122	13.59698138	26.12513938	0
o__Enterobacterales;f__Alteromonadaceae	3491.693951	4208.089343	4361.375827	789.7745714	6402.282892	1117.919371
o__Enterobacterales;f__Enterobacteriaceae	3761.925537	3945.769797	2598.731534	1062.181565	11914.47785	970.2002511
o__Enterobacterales;f__GCA-002770795	0	0	0	0	9.597342589	0
o__Enterobacterales;f__Kangiellaceae	0	9.275453451	0	0	37.57196902	0
o__Enterobacterales;f__Moritellaceae	0	8.62596698	0	6.225253165	8.858091846	0
o__Enterobacterales;f__Neiellaceae	4.624600604	0	0	0	0	0
o__Enterobacterales;f__Pasteurellaceae	5097.88565	5111.337501	2083.791666	614.3789576	13746.99897	1292.185284
o__Enterobacterales;f__Psychrobiaceae	0	0	36.85369344	0	0	0
o__Enterobacterales;f__Psychromonadaceae	36.67900202	20.68365227	28.17427557	32.61707996	36.84955286	0
o__Enterobacterales;f__Shewanellaceae	354.1874231	327.1589592	120.8674907	18.64878965	951.485306	76.00734358
o__Enterobacterales;f__Succinivibrionaceae	49.50000066	330.1497557	7.631907201	55.32845632	290.0189309	7.280595051
o__Enterobacterales;f__Vibrionaceae	4785.304097	7664.340782	3289.412818	1330.255107	11958.62624	1232.230315
o__Erysipelotrichales;f__Erysipelatoclostridiaceae	640.1666756	743.3236461	352.3043278	163.5190611	1731.637097	228.9460058
o__Erysipelotrichales;f__Erysipelotrichaceae	850.2655101	868.763864	367.2644815	178.0760263	1388.760717	182.3213149
o__Exiguobacterales;f__Exiguobacteraceae	0	0	0	0	18.61870246	0
o__Fibrobacterales;f__Fibrobacteraceae	0	0	0	0	9.290058831	0
o__Fimbriimonadales;f__Fimbriimonadaceae	32.74346798	105.3238729	32.50190637	12.34119495	740.1275489	0
o__Flavobacteriales;f__BACL11	572.8355954	200.5352722	459.8491268	161.4974254	865.8699551	68.10964393
o__Flavobacteriales;f__Blattabacteriaceae	5.919542591	0	0	0	3.864852959	13.19990992
o__Flavobacteriales;f__CAIKAF01	31.75594784	25.20279197	12.73128819	0	383.5742756	0
o__Flavobacteriales;f__Crocinitomicaceae	9859.962637	9109.461699	5473.622586	2985.742744	14759.66213	2966.743381
o__Flavobacteriales;f__Flavobacteriaceae	35644.86815	49398.15057	19811.04402	10990.20224	76451.0938	16947.28536
o__Flavobacteriales;f__GCA-002722245	0	0	0	0	0	18.33221462
o__Flavobacteriales;f__NORP154	0	8.689460797	15.89888784	0	67.85078433	0
o__Flavobacteriales;f__PHOS-HE28	16.81875017	401.9710664	192.1832786	0	2660.743549	11.53385573
o__Flavobacteriales;f__Salibacteraceae	0	24.13105218	0	0	0	0
